-3.9,-3.9,9.304684760656423e-35
-3.9,-3.7,3.65168923956177e-32
-3.9,-3.5,1.0434448697360699e-29
-3.9,-3.3,2.1713604190840892e-27
-3.9,-3.1,3.291503970304494e-25
-3.9,-2.9,3.6356405493254134e-23
-3.9,-2.7,2.9270261757761746e-21
-3.9,-2.5,1.7182146503694524e-19
-3.9,-2.3,7.356818422005663e-18
-3.9,-2.1,2.298427883620767e-16
-3.9,-1.9,5.241729748108011e-15
-3.9,-1.7,8.72975360983366e-14
-3.9,-1.5,1.0621765679861672e-12
-3.9,-1.3,9.445866251765915e-12
-3.9,-1.1,6.142071019551364e-11
-3.9,-0.9,2.9213454524584e-10
-3.9,-0.7,1.0167097682424421e-9
-3.9,-0.5,2.5899198117967044e-9
-3.9,-0.3,4.830067108667435e-9
-3.9,-0.1,6.595814632486526e-9
-3.9,0.1,6.595814632486526e-9
-3.9,0.3,4.830067108667435e-9
-3.9,0.5,2.5899198117967044e-9
-3.9,0.7,1.0167097682424421e-9
-3.9,0.9,2.921345452458399e-10
-3.9,1.1,6.142071019551364e-11
-3.9,1.3,9.44586625176578e-12
-3.9,1.5,1.0621765677885585e-12
-3.9,1.7,8.729738677467091e-14
-3.9,1.9,5.181816175217629e-15
-3.9,2.1,-1.2571891818467356e-14
-3.9,2.3,-1.4618004992143339e-12
-3.9,2.5,-8.957748626920213e-11
-3.9,2.7,-2.9599772687140815e-9
-3.9,2.9,-5.3027820655462416e-8
-3.9,3.1,-5.180283329506027e-7
-3.9,3.3,-2.775604341862735e-6
-3.9,3.5,-8.200443955959163e-6
-3.9,3.7,-0.000013417629656220683
-3.9,3.9,-0.000012192531019096123
-3.7,-3.9,4.213080064998326e-34
-3.7,-3.7,1.6534530222372064e-31
-3.7,-3.5,4.7246273165907986e-29
-3.7,-3.3,9.831730499509595e-27
-3.7,-3.1,1.4903642752940775e-24
-3.7,-2.9,1.6461863152667023e-22
-3.7,-2.7,1.3253319104637193e-20
-3.7,-2.5,7.779926001454722e-19
-3.7,-2.3,3.331103184090103e-17
-3.7,-2.1,1.0407080891104426e-15
-3.7,-1.9,2.3734094894382794e-14
